time,h_GR,h_GAF
0.0000,-1.35971e-21,-1.35971e-21
0.0005,-6.06096e-22,-6.06096e-22
0.0010,2.62109e-22,2.62109e-22
0.0015,1.08273e-21,1.08273e-21
0.0020,1.70174e-21,1.70174e-21
0.0025,2.00227e-21,2.00227e-21
0.0030,1.92677e-21,1.92677e-21
0.0035,1.48825e-21,1.48825e-21
0.0040,7.68255e-22,7.68255e-22
0.0045,-9.81174e-23,-9.81174e-23
0.0050,-9.47431e-22,-9.47431e-22
0.0055,-1.61871e-21,-1.61871e-21
0.0060,-1.98398e-21,-1.98398e-21
0.0065,-1.97283e-21,-1.97283e-21
0.0070,-1.58616e-21,-1.58616e-21
0.0075,-8.96445e-22,-8.96445e-22
0.0080,-3.43672e-23,-3.43672e-23
0.0085,8.35800e-22,8.35800e-22
0.0090,1.54744e-21,1.54744e-21
0.0095,1.96355e-21,1.96355e-21
0.0100,2.00321e-21,2.00321e-21
0.0105,1.65755e-21,1.65755e-21
0.0110,9.91888e-22,9.91888e-22
0.0115,1.33624e-22,1.33624e-22
0.0120,-7.51999e-22,-7.51999e-22
0.0125,-1.49363e-21,-1.49363e-21
0.0130,-1.94701e-21,-1.94701e-21
0.0135,-2.02312e-21,-2.02312e-21
0.0140,-1.70589e-21,-1.70589e-21
0.0145,-1.05579e-21,-1.05579e-21
0.0150,-1.98538e-22,-1.98538e-22
0.0155,6.99066e-22,6.99066e-22
0.0160,1.46148e-21,1.46148e-21
0.0165,1.93880e-21,1.93880e-21
0.0170,2.03634e-21,2.03634e-21
0.0175,1.73363e-21,1.73363e-21
0.0180,1.08891e-21,1.08891e-21
0.0185,2.28195e-22,2.28195e-22
0.0190,-6.79188e-22,-6.79188e-22
0.0195,-1.45383e-21,-1.45383e-21
0.0200,-1.94173e-21,-1.94173e-21
0.0205,-2.04502e-21,-2.04502e-21
0.0210,-1.74184e-21,-1.74184e-21
0.0215,-1.09117e-21,-1.09117e-21
0.0220,-2.21591e-22,-2.21591e-22
0.0225,6.93886e-22,6.93886e-22
0.0230,1.47220e-21,1.47220e-21
0.0235,1.95683e-21,1.95683e-21
0.0240,2.04945e-21,2.04945e-21
0.0245,1.73003e-21,1.73003e-21
0.0250,1.06149e-21,1.06149e-21
0.0255,1.77493e-22,1.77493e-22
0.0260,-7.44058e-22,-7.44058e-22
0.0265,-1.51672e-21,-1.51672e-21
0.0270,-1.98328e-21,-1.98328e-21
0.0275,-2.04789e-21,-2.04789e-21
0.0280,-1.69595e-21,-1.69595e-21
0.0285,-9.97703e-22,-9.97703e-22
0.0290,-9.44480e-23,-9.44480e-23
0.0295,8.29857e-22,8.29857e-22
0.0300,1.58597e-21,1.58597e-21
0.0305,2.01816e-21,2.01816e-21
0.0306,2.03643e-21,2.03643e-21
0.0315,1.63552e-21,1.63552e-21
0.0320,8.96584e-22,8.96584e-22
0.0325,-2.89915e-23,-2.89915e-23
0.0330,-9.50377e-22,-9.50377e-22
0.0335,-1.67660e-21,-1.67660e-21
0.0340,-2.05616e-21,-2.05616e-21
0.0345,-2.00886e-21,-2.00886e-21
0.0350,-1.54298e-21,-1.54298e-21
0.0355,-7.54191e-22,-7.54191e-22
0.0360,1.93816e-22,1.93816e-22
0.0365,1.10312e-21,1.10312e-21
0.0370,1.78284e-21,1.78284e-21
0.0375,2.08930e-21,2.08930e-21
0.0380,1.95660e-21,1.95660e-21
0.0385,1.41107e-21,1.41107e-21
0.0390,5.66391e-22,5.66391e-22
0.0395,-3.99832e-22,-3.99832e-22
0.0400,-1.28325e-21,-1.28325e-21
0.0405,-1.89598e-21,-1.89598e-21
0.0410,-2.10665e-21,-2.10665e-21
0.0415,-1.86886e-21,-1.86886e-21
0.0420,-1.23164e-21,-1.23164e-21
0.0425,-3.29748e-22,-3.29748e-22
0.0430,6.44630e-22,6.44630e-22
0.0435,1.48267e-21,1.48267e-21
0.0440,2.00367e-21,2.00367e-21
0.0445,2.09421e-21,2.09421e-21
0.0450,1.73309e-21,1.73309e-21
0.0455,9.96624e-22,9.96624e-22
0.0460,4.28183e-23,4.28183e-23
0.0465,-9.22261e-22,-9.22261e-22
0.0470,-1.68892e-21,-1.68892e-21
0.0475,-2.08948e-21,-2.08948e-21
0.0480,-2.03513e-21,-2.03513e-21
0.0485,-1.53597e-21,-1.53597e-21
0.0490,-6.99510e-22,-6.99510e-22
0.0495,2.92127e-22,2.92127e-22
0.0501,1.22168e-21,1.22168e-21
0.0506,1.88428e-21,1.88428e-21
0.0511,2.13275e-21,2.13275e-21
0.0516,1.91055e-21,1.91055e-21
0.0521,1.26497e-21,1.26497e-21
0.0526,3.37485e-22,3.37485e-22
0.0531,-8.43085e-22,-8.43085e-22
0.0536,-1.70668e-21,-1.70668e-21
0.0541,-2.16027e-21,-2.16027e-21
0.0546,-2.09407e-21,-2.09407e-21
0.0551,-1.52119e-21,-1.52119e-21
0.0556,-5.78222e-22,-5.78222e-22
0.0561,5.50429e-22,5.50429e-22
0.0566,1.67602e-21,1.67602e-21
0.0571,2.30429e-21,2.30429e-21
0.0576,2.24400e-21,2.24400e-21
0.0581,1.50912e-21,1.50912e-21
0.0586,3.17083e-22,3.17083e-22
0.0591,-9.74633e-22,-9.74633e-22
0.0596,-1.97514e-21,-1.97514e-21
0.0601,-2.37857e-21,-2.37857e-21
0.0606,-2.05832e-21,-2.05832e-21
0.0611,-1.10783e-21,-1.10783e-21
0.0616,1.85391e-22,1.85391e-22
0.0621,1.42588e-21,1.42588e-21
0.0626,2.23084e-21,2.23084e-21
0.0631,2.34863e-21,2.34863e-21
0.0636,1.73843e-21,1.73843e-21
0.0641,5.85460e-22,5.85460e-22
0.0646,-7.54021e-22,-7.54021e-22
0.0651,-1.86211e-21,-1.86211e-21
0.0656,-2.38961e-21,-2.38961e-21
0.0661,-2.16680e-21,-2.16680e-21
0.0666,-1.25922e-21,-1.25922e-21
0.0671,5.01839e-23,5.01839e-23
0.0676,1.34815e-21,1.34815e-21
0.0681,2.22117e-21,2.22117e-21
0.0686,2.38752e-21,2.38752e-21
0.0691,1.78929e-21,1.78929e-21
0.0696,6.13766e-22,6.13766e-22
0.0701,-7.63798e-22,-7.63798e-22
0.0706,-1.89917e-21,-1.89917e-21
0.0711,-2.42236e-21,-2.42236e-21
0.0716,-2.15902e-21,-2.15902e-21
0.0721,-1.18986e-21,-1.18986e-21
0.0726,1.72472e-22,1.72472e-22
0.0731,1.48304e-21,1.48304e-21
0.0736,2.30956e-21,2.30956e-21
0.0741,2.37547e-21,2.37547e-21
